Date,Best_Prediction
2025-01-02,3215.4725655996594
2025-01-03,3216.7214810216083
2025-01-04,3217.9703964435566
2025-01-05,3219.219311865505
2025-01-06,3220.4682272874534
2025-01-07,3221.7171427094017
2025-01-08,3222.96605813135
2025-01-09,3224.214973553299
2025-01-10,3225.4638889752478
2025-01-11,3226.712804397196
2025-01-12,3227.961719819144
2025-01-13,3229.2106352410924
2025-01-14,3230.459550663041
2025-01-15,3231.7084660849896
2025-01-16,3232.957381506938
2025-01-17,3234.2062969288863
2025-01-18,3235.4552123508347
2025-01-19,3236.7041277727835
2025-01-20,3237.953043194732
2025-01-21,3239.2019586166803
2025-01-22,3240.4508740386286
2025-01-23,3241.699789460577
2025-01-24,3242.9487048825254
2025-01-25,3244.197620304474
2025-01-26,3245.4465357264226
2025-01-27,3246.695451148371
2025-01-28,3247.9443665703197
2025-01-29,3249.193281992268
